"treat"	"nitrogen"	"block"	"height"	"weight"	"leafarea"	"shootarea"	"flowers"	"flowers_sqrt"	"log10_height"
"notip"	"high"	1	1.2	18.24	16.6	148.1	7	2.64575131106459	0.0791812460476248
"notip"	"high"	1	2.1	19.15	15.6	176.7	6	2.44948974278318	0.322219294733919
"notip"	"high"	1	2.6	16.57	17.1	141.1	3	1.73205080756888	0.414973347970818
"notip"	"high"	2	2.6	18.88	16.4	181.5	14	3.74165738677394	0.414973347970818
"notip"	"high"	2	4.6	14.65	16.7	91.7	11	3.3166247903554	0.662757831681574
"notip"	"high"	2	4.7	13.42	19.8	124.7	5	2.23606797749979	0.672097857935718
"notip"	"high"	2	5	16.82	17.3	182.5	15	3.87298334620742	0.698970004336019
"notip"	"high"	2	5.2	17.7	19.1	181.1	8	2.82842712474619	0.716003343634799
"notip"	"high"	2	6	13.68	16.2	133.7	2	1.4142135623731	0.778151250383644
"tip"	"high"	2	6.2	17.32	11.6	85.9	5	2.23606797749979	0.792391689498254
"tip"	"high"	2	6.3	14.5	18.3	55.6	8	2.82842712474619	0.799340549453582
"tip"	"high"	2	6.4	13.6	13.6	152.6	7	2.64575131106459	0.806179973983887
"notip"	"high"	1	6.4	11.52	12.1	140.5	7	2.64575131106459	0.806179973983887
"tip"	"high"	1	6.5	17.13	24.1	147.4	6	2.44948974278318	0.812913356642856
"notip"	"high"	2	6.5	14	10.1	126.5	7	2.64575131106459	0.812913356642856
"notip"	"high"	1	7.2	15.21	15.9	135	14	3.74165738677394	0.857332496431269
"tip"	"high"	2	7.7	14.77	17.2	104.5	4	2	0.886490725172482
"tip"	"high"	1	8.5	14.33	13.2	91.4	5	2.23606797749979	0.929418925714293
"tip"	"high"	1	8.5	17.82	20.5	54.4	3	1.73205080756888	0.929418925714293
"notip"	"high"	1	8.5	22.53	20.8	166.9	16	4	0.929418925714293
"notip"	"high"	1	8.5	17.33	19.8	184.4	12	3.46410161513775	0.929418925714293
"tip"	"high"	2	8.8	16.58	16.7	100.1	9	3	0.944482672150169
"tip"	"high"	2	9.2	13.26	11.3	108	9	3	0.963787827345555
